Мөнгө ба түүнтэй адилтгах хөрөнгө,1120284000
Банк санхүүгийн байгууллагад байршуулсан хөрөнгө,497906000
investments,501437000
"Хараат, хамтын хяналттай, охин компанид оруулсан хөрөнгө оруулалт",1200000
Loan (net),2034860000
Хэвийн зээл,1902342000
non-performing loans,170883000
Зээлийн хойшлогдсон төлбөр,5168000
Зээлд хуримтлуулж тооцсон хүүгийн авлага,57519000
Зээлийн эрсдэлийн сан,90716000
Дериватив санхүүгийн хөрөнгө,177022000
Бусад санхүүгийн хөрөнгө,61234000
Бусад санхүүгийн бус хөрөнгө,11909000
Fixed assets,171009000
Хөрөнгө оруулалтын зориулалттай үл хөдлөх хөрөнгө,51291000
Борлуулах зориулалттай хөрөнгө,17444000
Биет бус хөрөнгө,13947000
Нийт хөрөнгийн дүн,4658343000
ӨР ТӨЛБӨР,0
Харилцах,757097000
Savings,2012797000
Банк санхүүгийн байгууллагаас татсан эх үүсвэр,1198611000
Бусад эх үүсвэр,190011000
Бусад өр төлбөр,133253000
Нийт өр төлбөрийн дүн,4291770000
ӨӨРИЙН ХӨРӨНГӨ,0
Хувь нийлүүлсэн хөрөнгө,52146000
Нэмж төлөгдсөн капитал,46584000
Халаасны хувьцаа,0
Дахин үнэлгээний нэмэгдэл,9645000
"Хуримтлагдсан ашиг, алдагдал",240439000
Бусад өөрийн хөрөнгө,17760000
total equity,366573000
Өр төлбөр ба өөрийн хөрөнгийн дүн,4658343000
Хүүгийн орлого,331900000
Монголбанкинд байршуулсан хөрөнгийн,9388000
"Банк, санхүүгийн байгууллагад байршуулсан хөрөнгийн",865000
Үнэт цаасны,59965000
Зээлийн,253283000
Бусад хүүгийн орлого,8399000
Interest Expense,246416000
Харилцахад төлсөн хүү,13354000
Хадгаламжинд төлсөн хүү,188251000
Зээлийн хүүгийн зардал,44811000
Үнэт цаасны хүүгийн зардал,0
Бусад хүүгийн зардал,0
Хүүгийн цэвэр орлого,85484000
Эрсдэлийн сангийн зардал,51904000
Эрсдэлийн сангийн дараах цэвэр орлого,33580000
Бусад орлого,70809000
Non-interest income,69272000
Арилжааны орлого,15125000
"Ханш, үнэлгээний тэгшитгэлийн орлого",26004000
"Банкны бүтээгдэхүүнтэй холбоотой үйлчилгээний хураамж, шимтгэлийн орлого",27982000
Бусад хүүгийн бус орлого,162000
Other income,1536000
other operating expense,91643000
Хүүгийн бус зардал,90847000
Бусад эрсдлийн сангийн зардал,6783000
Арилжааны зардал,0
"Ханш, үнэлгээний тэгшитгэлийн зардал",0
Хураамж шимтгэлийн зардал,7609000
Operating Expenses,76455000
"     Бусад зардал, гарз",796000
"Татварын өмнөх ашиг, алдагдал",12746000
Орлогын татварын зардал,7473000
"Татварын дараах ашиг, алдагдал",5274000
Бусад дэлгэрэнгүй орлого,2978000
Тайлант хугацааны нийт орлогын дүн,8251000
