Cash and cash equivalents,997866505
Deposits and placements with banks and other financial institutions,772668510
Investments,1418206854
Investments in subsidiaries and associates,32821712
Loan (net),2890248724
Performing loans,2807890039
Non-performing loans,225016992
Deferred loan payments,0
Accrued interest receivables,125274155
Provision for loan impairment,267932462
Derivative financial assets,314341681
Other financial assets,22896479
Other non-financial assets,19265533
Fixed assets,324112734
Investment property,91951413
Held-for-sale assets,0
Intangible assets,2586782
Total assets,6854145215
Current accounts,1213768492
Savings,1692713603
Deposits and placements by banks and other financial institutions,1393641222
Other deposits,1661025454
Other liabilities,49252496
Total liabilities,6010401267
Share capital,50000011
Share premium,19272456
Treasury stock,0
Revaluation reserves,130014323
Retained earnings,557868817
Other capital,86588341
Total equity,843743948
Total liabilities and equity,6854145215
Interest income,612880076
Balances with the Bank of Mongolia,9489534
Due from other banks and financial institutions,6997056
Investments in securities,231245315
Loans and advances,365148171
Other,0
Interest expense,434599362
Current accounts,25133285
Savings,167988113
Borrowings,81489955
Securities,153568833
Others,6419176
Net interest income,178280714
Provision expenses,129244808
Net interest income after provision,49035906
Other income,626986015
Non-interest income,621715179
Trading income,125592861
Gains from foreign currency exchange translation and valuation,429999409
Fees and commission income,46676182
Other non-interest income,19446727
Other income,5270835
Other expense,602141547
Non-interest expense,599413941
Other provision expense,1759403
Trading expense,69693359
Losses from foreign currency exchange translation and valuation,435046897
Fees and commission expense,12106957
Other operating expense,80807326
Other expense,2727606
Profit before tax,73880373
Income tax expense,241376
Profit after tax,73638997
Other comprehensive income,45388850
Total comprehensive income for the year,119027847
